Match #10,,,,,,,,
Map: Map2,,,,,,,,
Start Time: 8/06/2025 12:55:01 AM,,,,,,,,
---,,,,,,,,
Team A using BDI,,,,,,,,
Team B using BehaviorTree,,,,,,,,
---,,,,,,,,
Match ended after 234.5 seconds,,,,,,,,
Winner: TeamB - TeamA has no commanders left.,,,,,,,,
,,,,,,,,
--- Final Match Metrics ---,,,,,,,,
Winner: TeamB.,,,,,,,,
Match Duration: 234.5 seconds,,,,,,,,
Team A Final Unit Count: 3,,,,,,,,
Team B Final Unit Count: 12,,,,,,,,
Team A Final Health %: 90.0,,,,,,,,
Team B Final Health %: 89.5,,,,,,,,
Team A Camp Count: 2,,,,,,,,
Team B Camp Count: 2,,,,,,,,
Team A Combat Encounters: 85,,,,,,,,
Team B Combat Encounters: 67,,,,,,,,
Team A Scouted Cells: 9682 cells,,,,,,,,
Team B Scouted Cells: 2755 cells,,,,,,,,
Team A Avg Reaction Time: 0.44 seconds,,,,,,,,
Team B Avg Reaction Time: 0.29 seconds,,,,,,,,
,,,,,,,,
--- Time Series Data ---,,,,,,,,
Time,TeamA_Units,TeamB_Units,TeamA_Health%,TeamB_Health%,TeamA_CombatEncounters,TeamB_CombatEncounters,TeamA_AvgReactionTime,TeamB_AvgReactionTime
10,15,15,100,100,0,4,N/A,N/A
20.1,15,15,100,100,0,4,N/A,N/A
30.1,15,15,100,100,0,4,N/A,N/A
40.1,15,15,100,100,0,4,N/A,N/A
50.1,15,15,100,100,0,4,N/A,N/A
60.2,15,15,100,100,0,4,N/A,N/A
70.2,15,15,100,100,10,7,N/A,N/A
80.2,15,15,100,100,36,7,N/A,N/A
90.2,15,15,100,100,56,7,N/A,N/A
100.3,15,15,100,100,56,7,N/A,N/A
110.3,15,15,100,100,57,7,N/A,N/A
120.3,15,15,100,100,64,7,N/A,N/A
130.4,15,15,100,100,64,7,N/A,N/A
140.5,15,15,100,100,64,7,N/A,N/A
150.5,15,15,98.5,100,64,12,N/A,N/A
160.5,13,15,90.1,100,64,22,N/A,0.13
170.6,11,15,83.3,98.7,68,35,0.14,0.16
180.7,9,15,80.9,97.1,73,43,0.28,0.14
190.7,6,13,68.7,94.7,79,57,0.33,0.21
200.8,5,13,78.8,83,84,63,0.36,0.24
210.8,4,12,84.8,88.8,85,65,0.44,0.37
220.8,4,12,69.8,89.1,85,66,0.44,0.37
230.8,3,12,90,89.3,85,67,0.44,0.29
