Match #9,,,,,,,,
Map: Map2,,,,,,,,
Start Time: 8/06/2025 12:10:20 AM,,,,,,,,
---,,,,,,,,
Team A using BDI,,,,,,,,
Team B using BehaviorTree,,,,,,,,
---,,,,,,,,
Match ended after 600.0 seconds,,,,,,,,
Winner: TeamB - Time limit reached. Better resources.,,,,,,,,
,,,,,,,,
--- Final Match Metrics ---,,,,,,,,
Winner: TeamB.,,,,,,,,
Match Duration: 600.0 seconds,,,,,,,,
Team A Final Unit Count: 4,,,,,,,,
Team B Final Unit Count: 13,,,,,,,,
Team A Final Health %: 86.2,,,,,,,,
Team B Final Health %: 83.7,,,,,,,,
Team A Camp Count: 8,,,,,,,,
Team B Camp Count: 10,,,,,,,,
Team A Combat Encounters: 269,,,,,,,,
Team B Combat Encounters: 151,,,,,,,,
Team A Scouted Cells: 5799 cells,,,,,,,,
Team B Scouted Cells: 8887 cells,,,,,,,,
Team A Avg Reaction Time: 0.41 seconds,,,,,,,,
Team B Avg Reaction Time: 0.19 seconds,,,,,,,,
,,,,,,,,
--- Time Series Data ---,,,,,,,,
Time,TeamA_Units,TeamB_Units,TeamA_Health%,TeamB_Health%,TeamA_CombatEncounters,TeamB_CombatEncounters,TeamA_AvgReactionTime,TeamB_AvgReactionTime
10,15,15,100,100,0,7,N/A,N/A
20,15,15,100,100,0,7,N/A,N/A
30,15,15,100,100,0,7,N/A,N/A
40.1,15,15,100,100,0,7,N/A,N/A
50.1,15,15,100,100,0,7,N/A,N/A
60.1,15,15,100,100,6,7,N/A,N/A
70.2,15,15,100,100,24,7,N/A,N/A
80.2,15,15,100,100,24,8,N/A,N/A
90.4,15,15,100,100,24,10,N/A,N/A
100.4,15,15,100,100,24,10,N/A,N/A
110.4,15,15,100,100,24,10,N/A,N/A
120.4,15,15,100,100,24,10,N/A,N/A
130.5,15,15,100,100,24,10,N/A,N/A
140.6,15,15,100,100,24,10,N/A,N/A
150.7,15,15,100,100,33,10,N/A,N/A
160.8,15,15,100,100,37,10,N/A,N/A
170.8,15,15,100,100,41,11,N/A,N/A
180.9,15,15,100,100,52,13,N/A,N/A
190.9,15,15,100,100,54,21,N/A,N/A
200.9,15,15,100,100,62,29,N/A,N/A
210.9,15,15,100,100,70,29,N/A,N/A
221,15,15,100,100,70,29,N/A,N/A
231,15,15,100,100,80,29,N/A,N/A
241,15,15,100,100,88,29,N/A,N/A
251.1,15,15,100,100,100,29,N/A,N/A
261.1,15,15,100,100,120,29,N/A,N/A
271.2,15,15,100,100,120,29,N/A,N/A
281.2,15,15,100,100,120,29,N/A,N/A
291.3,15,15,100,100,120,34,N/A,N/A
301.3,15,15,100,100,120,57,N/A,N/A
311.3,15,15,100,100,121,57,N/A,N/A
321.3,15,15,100,100,135,57,N/A,N/A
331.4,15,15,100,100,157,57,N/A,N/A
341.4,15,15,100,100,175,57,N/A,N/A
351.4,15,15,100,100,175,57,N/A,N/A
361.4,15,15,100,100,175,57,N/A,N/A
371.5,15,15,100,100,175,57,N/A,N/A
381.6,15,15,100,100,175,62,N/A,N/A
391.6,15,15,100,100,178,62,N/A,N/A
401.7,15,15,100,100,187,64,N/A,N/A
411.7,15,15,100,100,195,72,N/A,N/A
421.7,15,15,100,100,206,91,N/A,N/A
431.8,15,15,100,100,206,96,N/A,N/A
441.9,15,15,100,100,206,97,N/A,N/A
451.9,15,15,100,100,208,97,N/A,N/A
461.9,15,15,100,100,213,97,N/A,N/A
471.9,15,15,100,100,213,98,N/A,N/A
482,14,15,100,100,213,100,N/A,0.21
492.1,13,15,93.6,98.1,214,101,0.12,0.18
502.1,11,14,86.9,86.6,220,106,0.13,0.15
512.2,9,13,99.5,84.5,238,112,0.13,0.14
522.2,9,13,98.7,84.5,246,114,0.23,0.17
532.2,8,13,84.1,84.5,254,129,0.22,0.22
542.3,8,13,68.3,84.5,255,136,0.24,0.27
552.3,8,13,69.2,83.7,260,136,0.19,0.27
562.3,6,13,78.6,83.7,261,143,0.18,0.22
572.4,5,13,89.1,83.7,263,146,0.2,0.21
582.4,5,13,81.8,83.7,265,147,0.28,0.21
592.4,4,13,86.2,83.7,267,151,0.28,0.19
